id,label,properties
9683,date,datetime,1963-09-06
14085,date,datetime,1968-05-05
15461,date,datetime,1969-08-14
18491,date,datetime,1917-01-01
21344,date,datetime,2007-07-10
9773,date,datetime,1963-09-21
17848,date,datetime,1973-02-02
12387,date,datetime,1966-09-25
13147,date,datetime,1967-06-30
14912,date,datetime,1969-03-07
14944,date,datetime,1969-03-08
15868,date,datetime,1974-07-10
18786,date,datetime,1818-01-01
14200,date,datetime,1968-07-15
8801,date,datetime,1889-01-01
26616,date,datetime,1927-12-29
20933,date,datetime,1966-08-08
17806,date,datetime,1973-01-12
20506,date,datetime,1962-03-26
27065,date,datetime,1930-07-08
16223,date,datetime,1979-09-04
21161,date,datetime,1966-10-27
15886,date,datetime,1974-07-17
14852,date,datetime,1969-02-06
9907,date,datetime,1963-10-12
12893,date,datetime,1967-03-22
15378,date,datetime,1969-07-14
19827,date,datetime,1962-09-20
26231,date,datetime,1927-07-17
14051,date,datetime,1968-05-03
15127,date,datetime,1969-02-28
9724,date,datetime,1963-09-10
14594,date,datetime,1968-10-31
17625,date,datetime,1912-01-04
23269,date,datetime,1962-11-19
20871,date,datetime,1966-06-24
21060,date,datetime,1965-05-21
27049,date,datetime,1912-09-05
14361,date,datetime,1968-10-05
26225,date,datetime,1928-07-16
11028,date,datetime,1979-07-01
16527,date,datetime,1971-07-24
20856,date,datetime,2006-11-16
184,date,datetime,1927-07-02
25378,date,datetime,1933-08-09
11935,date,datetime,1966-04-04
14374,date,datetime,1968-08-20
9632,date,datetime,1996-11-13
9882,date,datetime,1963-10-09
12979,date,datetime,1967-04-18
9248,date,datetime,1966-03-06
15468,date,datetime,1969-09-05
23799,date,datetime,1962-12-22
15583,date,datetime,1969-11-06
16482,date,datetime,1971-06-14
26309,date,datetime,1920-07-28
24078,date,datetime,1963-01-03
14102,date,datetime,1968-06-02
25750,date,datetime,1915-03-29
26145,date,datetime,1910-11-27
14035,date,datetime,1968-04-17
19619,date,datetime,1930-01-01
16083,date,datetime,1974-09-25
20398,date,datetime,1962-09-01
273,date,datetime,1892-01-01
25912,date,datetime,1926-10-25
16613,date,datetime,1972-04-12
15762,date,datetime,1974-06-08
16125,date,datetime,1974-09-28
14909,date,datetime,1969-03-03
17036,date,datetime,1952-01-01
26199,date,datetime,1938-05-14
18475,date,datetime,1921-01-01
23702,date,datetime,1962-12-19
14456,date,datetime,1968-09-29
25548,date,datetime,1911-07-17
26015,date,datetime,1916-10-24
16568,date,datetime,1971-09-01
22320,date,datetime,1979-01-01
15675,date,datetime,1970-02-08
14382,date,datetime,1968-09-20
20527,date,datetime,1966-05-06
13978,date,datetime,1968-03-08
23669,date,datetime,1962-04-30
14849,date,datetime,1969-01-22
13275,date,datetime,1967-09-13
15748,date,datetime,1974-05-10
22736,date,datetime,2011-04-20
16460,date,datetime,1971-06-02
19754,date,datetime,2006-09-16
15413,date,datetime,1969-07-26
17785,date,datetime,1973-01-04
26719,date,datetime,1912-07-11
14098,date,datetime,1968-05-16
23210,date,datetime,1968-02-03
9382,date,datetime,1963-08-19
9675,date,datetime,1963-09-05
15398,date,datetime,1969-06-06
25708,date,datetime,1920-08-01
13488,date,datetime,1968-05-12
22346,date,datetime,2010-02-09
21154,date,datetime,1963-01-05
15520,date,datetime,1969-10-16
20863,date,datetime,1965-04-17
12804,date,datetime,1967-01-31
9665,date,datetime,1963-09-04
24655,date,datetime,1963-08-14
